[12.120] : n = 1; d = 0.00
[12.121] : n = 1; d = 0.00
[12.122] : n = 1; d = 0.00
[12.123] : n = 1; d = 0.00
[12.124] : n = 1; d = 0.00
[12.125] : n = 1; d = 0.00
[12.126] : n = 1; d = 0.00
[12.127] : n = 1; d = 0.00
[12.128] : n = 1; d = 0.00
[12.129] : n = 1; d = 0.00
[12.130] : n = 1; d = 0.00
[12.131] : n = 1; d = 0.00
[12.132] : n = 1; d = 0.00
[12.133] : n = 1; d = 0.00
[12.134] : n = 1; d = 0.00
[12.135] : n = 1; d = 0.00
[12.136] : n = 1; d = 0.00
[12.137] : n = 1; d = 0.00
[12.138] : n = 1; d = 0.00
[12.139] : n = 1; d = 0.00
[12.140] : n = 1; d = 0.00
[12.141] : n = 1; d = 0.00
[12.142] : n = 1; d = 0.00
[12.143] : n = 1; d = 0.00
[12.144] : n = 1; d = 0.00
[12.145] : n = 1; d = 0.00
[12.146] : n = 1; d = 0.00
[12.147] : n = 1; d = 0.00
[12.148] : n = 1; d = 0.00
[12.149] : n = 1; d = 0.00
[12.150] : n = 1; d = 0.00
[12.151] : n = 1; d = 0.00
[12.152] : n = 1; d = 0.00
[12.153] : n = 1; d = 0.00
[12.154] : n = 1; d = 0.00
[12.155] : n = 1; d = 0.00
[12.156] : n = 1; d = 0.00
[12.157] : n = 1; d = 0.00
[12.158] : n = 1; d = 0.00
[12.159] : n = 1; d = 0.00
[12.160] : n = 1; d = 0.00
[12.161] : n = 1; d = 0.00
[12.162] : n = 1; d = 0.00
[12.163] : n = 1; d = 0.00
[12.164] : n = 1; d = 0.00
[12.165] : n = 1; d = 0.00
[12.166] : n = 1; d = 0.00
[12.167] : n = 1; d = 0.00
[12.168] : n = 1; d = 0.00
[12.169] : n = 1; d = 0.00
[12.170] : n = 1; d = 0.00
[12.171] : n = 1; d = 0.00
[12.172] : n = 1; d = 0.00
[12.173] : n = 1; d = 0.00
[12.174] : n = 1; d = 0.00
[12.175] : n = 1; d = 0.00
[12.176] : n = 1; d = 0.00
[12.177] : n = 1; d = 0.00
[12.178] : n = 1; d = 0.00
[12.179] : n = 1; d = 0.00
[12.180] : n = 1; d = 0.00
[12.181] : n = 1; d = 0.00
[12.182] : n = 1; d = 0.00
[12.183] : n = 1; d = 0.00
[12.184] : n = 1; d = 0.00
[12.185] : n = 1; d = 0.00
[12.186] : n = 1; d = 0.00
[12.187] : n = 1; d = 0.00
[12.188] : n = 1; d = 0.00
[12.189] : n = 1; d = 0.00
[12.190] : n = 1; d = 0.00
[12.191] : n = 1; d = 0.00
[12.192] : n = 1; d = 0.00
[12.193] : n = 1; d = 0.00
[12.194] : n = 1; d = 0.00
[12.195] : n = 1; d = 0.00
[12.196] : n = 1; d = 0.00
[12.197] : n = 1; d = 0.00
[12.198] : n = 1; d = 0.00
[12.199] : n = 1; d = 0.00
[12.200] : n = 1; d = 0.00
[12.201] : n = 1; d = 0.00
[12.202] : n = 1; d = 0.00
[12.203] : n = 1; d = 0.00
[12.204] : n = 1; d = 0.00
[12.205] : n = 1; d = 0.00
[12.206] : n = 1; d = 0.00
[12.207] : n = 1; d = 0.00
[12.208] : n = 1; d = 0.00
[12.209] : n = 1; d = 0.00
[12.210] : n = 1; d = 0.00
[12.211] : n = 1; d = 0.00
[12.212] : n = 1; d = 0.00
[12.213] : n = 1; d = 0.00
[12.214] : n = 1; d = 0.00
[12.215] : n = 1; d = 0.00
[12.216] : n = 1; d = 0.00
[12.217] : n = 1; d = 0.00
[12.218] : n = 1; d = 0.00
[12.219] : n = 1; d = 0.00
[12.220] : n = 1; d = 0.00
[12.221] : n = 1; d = 0.00
[12.222] : n = 1; d = 0.00
[12.223] : n = 1; d = 0.00
[12.224] : n = 1; d = 0.00
[12.225] : n = 1; d = 0.00
[12.226] : n = 1; d = 0.00
[12.227] : n = 1; d = 0.00
[12.228] : n = 1; d = 0.00
[12.229] : n = 1; d = 0.00
[12.230] : n = 1; d = 0.00
[12.231] : n = 1; d = 0.00
[12.232] : n = 1; d = 0.00
[12.233] : n = 1; d = 0.00
[12.234] : n = 1; d = 0.00
[12.235] : n = 1; d = 0.00
[12.236] : n = 1; d = 0.00
[12.237] : n = 1; d = 0.00
[12.238] : n = 1; d = 0.00
[12.239] : n = 1; d = 0.00
[12.240] : n = 1; d = 0.00
[12.241] : n = 1; d = 0.00
[12.242] : n = 1; d = 0.00
[12.243] : n = 1; d = 0.00
[12.244] : n = 1; d = 0.00
[12.245] : n = 1; d = 0.00
[12.246] : n = 1; d = 0.00
[12.247] : n = 1; d = 0.00
[12.248] : n = 1; d = 0.00
[12.249] : n = 1; d = 0.00
[12.250] : n = 1; d = 0.00
[12.251] : n = 1; d = 0.00
[12.252] : n = 1; d = 0.00
[12.253] : n = 1; d = 0.00
[12.254] : n = 1; d = 0.00
[12.255] : n = 1; d = 0.00
[12.256] : n = 1; d = 0.00
[12.257] : n = 1; d = 0.00
[12.258] : n = 1; d = 0.00
[12.259] : n = 1; d = 0.00
[12.260] : n = 1; d = 0.00
[12.261] : n = 1; d = 0.00
[12.262] : n = 1; d = 0.00
[12.263] : n = 1; d = 0.00
[12.264] : n = 1; d = 0.00
[12.265] : n = 1; d = 0.00
[12.266] : n = 1; d = 0.00
[12.267] : n = 1; d = 0.00
[12.268] : n = 1; d = 0.00
[12.269] : n = 1; d = 0.00
[12.270] : n = 1; d = 0.00
[12.271] : n = 1; d = 0.00
[12.272] : n = 1; d = 0.00
[12.273] : n = 1; d = 0.00
[12.274] : n = 1; d = 0.00
[12.275] : n = 1; d = 0.00
[12.276] : n = 1; d = 0.00
[12.277] : n = 1; d = 0.00
[12.278] : n = 1; d = 0.00
[12.279] : n = 1; d = 0.00
[12.280] : n = 1; d = 0.00
[12.281] : n = 1; d = 0.00
[12.282] : n = 1; d = 0.00
[12.283] : n = 1; d = 0.00
[12.284] : n = 1; d = 0.00
[12.285] : n = 1; d = 0.00
[12.286] : n = 1; d = 0.00
[12.287] : n = 1; d = 0.00
[12.288] : n = 1; d = 0.00
[12.289] : n = 1; d = 0.00
[12.290] : n = 1; d = 0.00
[12.291] : n = 1; d = 0.00
[12.292] : n = 1; d = 0.00
[12.293] : n = 1; d = 0.00
[12.294] : n = 1; d = 0.00
[12.295] : n = 1; d = 0.00
[12.296] : n = 1; d = 0.00
[12.297] : n = 1; d = 0.00
[12.298] : n = 1; d = 0.00
[12.299] : n = 1; d = 0.00
[12.300] : n = 1; d = 0.00
[12.301] : n = 1; d = 0.00
[12.302] : n = 1; d = 0.00
[12.303] : n = 1; d = 0.00
[12.304] : n = 1; d = 0.00
[12.305] : n = 1; d = 0.00
[12.306] : n = 1; d = 0.00
[12.307] : n = 1; d = 0.00
[12.308] : n = 1; d = 0.00
[12.309] : n = 1; d = 0.00
[12.310] : n = 1; d = 0.00
[12.311] : n = 1; d = 0.00
[12.312] : n = 1; d = 0.00
[12.313] : n = 1; d = 0.00
[12.314] : n = 1; d = 0.00
[12.315] : n = 1; d = 0.00
[12.316] : n = 1; d = 0.00
[12.317] : n = 1; d = 0.00
[12.318] : n = 1; d = 0.00
[12.319] : n = 1; d = 0.00
[12.320] : n = 1; d = 0.00
[12.321] : n = 1; d = 0.00
[12.322] : n = 1; d = 0.00
[12.323] : n = 1; d = 0.00
[12.324] : n = 1; d = 0.00
[12.325] : n = 1; d = 0.00
[12.326] : n = 1; d = 0.00
[12.327] : n = 1; d = 0.00
[12.328] : n = 1; d = 0.00
[12.329] : n = 1; d = 0.00
[12.330] : n = 1; d = 0.00
[12.331] : n = 1; d = 0.00
[12.332] : n = 1; d = 0.00
[12.333] : n = 1; d = 0.00
[12.334] : n = 1; d = 0.00
[12.335] : n = 1; d = 0.00
[12.336] : n = 1; d = 0.00
[12.337] : n = 1; d = 0.00
[12.338] : n = 1; d = 0.00
[12.339] : n = 1; d = 0.00
[12.340] : n = 1; d = 0.00
[12.341] : n = 1; d = 0.00
[12.342] : n = 1; d = 0.00
[12.343] : n = 1; d = 0.00
[12.344] : n = 1; d = 0.00
[12.345] : n = 1; d = 0.00
[12.346] : n = 1; d = 0.00
[12.347] : n = 1; d = 0.00
[12.348] : n = 1; d = 0.00
[12.349] : n = 1; d = 0.00
[12.350] : n = 1; d = 0.00
[12.351] : n = 1; d = 0.00
[12.352] : n = 1; d = 0.00
[12.353] : n = 1; d = 0.00
[12.354] : n = 1; d = 0.00
[12.355] : n = 1; d = 0.00
[12.356] : n = 1; d = 0.00
[12.357] : n = 1; d = 0.00
[12.358] : n = 1; d = 0.00
[12.359] : n = 1; d = 0.00
[12.360] : n = 1; d = 0.00
[12.361] : n = 1; d = 0.00
[12.362] : n = 1; d = 0.00
[12.363] : n = 1; d = 0.00
[12.364] : n = 1; d = 0.00
[12.365] : n = 1; d = 0.00
[12.366] : n = 1; d = 0.00
[12.367] : n = 1; d = 0.00
[12.368] : n = 1; d = 0.00
[12.369] : n = 1; d = 0.00
[12.370] : n = 1; d = 0.00
[12.371] : n = 1; d = 0.00
[12.372] : n = 1; d = 0.00
[12.373] : n = 1; d = 0.00
[12.374] : n = 1; d = 0.00
[12.375] : n = 1; d = 0.00
[12.376] : n = 1; d = 0.00
[12.377] : n = 1; d = 0.00
[12.378] : n = 1; d = 0.00
[12.379] : n = 1; d = 0.00
[12.380] : n = 1; d = 0.00
[12.381] : n = 2; d = 0.00
[12.382] : n = 1; d = 0.00
[12.383] : n = 1; d = 0.00
[12.384] : n = 1; d = 0.00
[12.385] : n = 1; d = 0.00
[12.386] : n = 1; d = 0.00
[12.387] : n = 1; d = 0.00
[12.388] : n = 1; d = 0.00
[12.389] : n = 1; d = 0.00
[12.390] : n = 1; d = 0.00
[12.391] : n = 1; d = 0.00
[12.392] : n = 1; d = 0.00
[12.393] : n = 1; d = 0.00
[12.394] : n = 1; d = 0.00
[12.395] : n = 1; d = 0.00
[12.396] : n = 1; d = 0.00
[12.397] : n = 1; d = 0.00
[12.398] : n = 1; d = 0.00
[12.399] : n = 1; d = 0.00
[12.400] : n = 1; d = 0.00
[12.401] : n = 1; d = 0.00
[12.402] : n = 1; d = 0.00
[12.403] : n = 1; d = 0.00
[12.404] : n = 1; d = 0.00
[12.405] : n = 1; d = 0.00
[12.406] : n = 1; d = 0.00
[12.407] : n = 1; d = 0.00
[12.408] : n = 1; d = 0.00
[12.409] : n = 1; d = 0.00
[12.410] : n = 1; d = 0.00
[12.411] : n = 1; d = 0.00
[12.412] : n = 1; d = 0.00
[12.413] : n = 1; d = 0.00
[12.414] : n = 1; d = 0.00
[12.415] : n = 1; d = 0.00
[12.416] : n = 1; d = 0.00
[12.417] : n = 1; d = 0.00
[12.418] : n = 1; d = 0.00
[12.419] : n = 1; d = 0.00
[12.420] : n = 1; d = 0.00
[12.421] : n = 1; d = 0.00
[12.422] : n = 1; d = 0.00
[12.423] : n = 1; d = 0.00
